exp_name,user_id,exp_date,variant
"Onboarding",1000,"2020-01-01","control"
"Onboarding",1001,"2020-01-01","variant 1"
"Onboarding",1002,"2020-01-01","control"
"Onboarding",1003,"2020-01-01","variant 1"
"Onboarding",1004,"2020-01-01","control"
"Onboarding",1005,"2020-01-01","variant 1"
"Onboarding",1006,"2020-01-01","control"
"Onboarding",1007,"2020-01-01","variant 1"
"Onboarding",1008,"2020-01-01","control"
"Onboarding",1009,"2020-01-01","control"
"Onboarding",1010,"2020-01-01","variant 1"
"Onboarding",1011,"2020-01-01","variant 1"
"Onboarding",1012,"2020-01-01","control"
"Onboarding",1013,"2020-01-01","control"
"Onboarding",1014,"2020-01-01","control"
"Onboarding",1015,"2020-01-01","variant 1"
"Onboarding",1016,"2020-01-01","control"
"Onboarding",1017,"2020-01-01","control"
"Onboarding",1018,"2020-01-01","control"
"Onboarding",1019,"2020-01-01","variant 1"
"Onboarding",1020,"2020-01-01","variant 1"
"Onboarding",1021,"2020-01-01","control"
"Onboarding",1022,"2020-01-01","variant 1"
"Onboarding",1023,"2020-01-01","variant 1"
"Onboarding",1024,"2020-01-01","control"
"Onboarding",1025,"2020-01-01","variant 1"
"Onboarding",1026,"2020-01-01","control"
"Onboarding",1027,"2020-01-01","variant 1"
"Onboarding",1028,"2020-01-01","variant 1"
"Onboarding",1029,"2020-01-01","variant 1"
"Onboarding",1030,"2020-01-01","control"
"Onboarding",1031,"2020-01-01","variant 1"
"Onboarding",1032,"2020-01-01","control"
"Onboarding",1033,"2020-01-01","variant 1"
"Onboarding",1034,"2020-01-01","control"
"Onboarding",1035,"2020-01-01","variant 1"
"Onboarding",1036,"2020-01-01","control"
"Onboarding",1037,"2020-01-01","variant 1"
"Onboarding",1038,"2020-01-01","variant 1"
"Onboarding",1039,"2020-01-01","control"
"Onboarding",1040,"2020-01-01","variant 1"
"Onboarding",1041,"2020-01-01","control"
"Onboarding",1042,"2020-01-01","control"
"Onboarding",1043,"2020-01-01","control"
"Onboarding",1044,"2020-01-01","variant 1"
"Onboarding",1045,"2020-01-01","control"
"Onboarding",1046,"2020-01-01","variant 1"
"Onboarding",1047,"2020-01-01","variant 1"
"Onboarding",1048,"2020-01-01","variant 1"
"Onboarding",1049,"2020-01-01","variant 1"
"Onboarding",1050,"2020-01-01","control"
"Onboarding",1051,"2020-01-01","control"
"Onboarding",1052,"2020-01-01","variant 1"
"Onboarding",1053,"2020-01-01","variant 1"
"Onboarding",1054,"2020-01-01","control"
"Onboarding",1055,"2020-01-01","control"
"Onboarding",1056,"2020-01-01","variant 1"
"Onboarding",1057,"2020-01-01","variant 1"
"Onboarding",1058,"2020-01-01","variant 1"
"Onboarding",1059,"2020-01-01","variant 1"
"Onboarding",1060,"2020-01-01","variant 1"
"Onboarding",1061,"2020-01-01","variant 1"
"Onboarding",1062,"2020-01-01","control"
"Onboarding",1063,"2020-01-01","variant 1"
"Onboarding",1064,"2020-01-01","control"
"Onboarding",1065,"2020-01-01","variant 1"
"Onboarding",1066,"2020-01-01","control"
"Onboarding",1067,"2020-01-01","variant 1"
"Onboarding",1068,"2020-01-01","variant 1"
"Onboarding",1069,"2020-01-01","control"
"Onboarding",1070,"2020-01-01","variant 1"
"Onboarding",1071,"2020-01-01","control"
"Onboarding",1072,"2020-01-01","control"
"Onboarding",1073,"2020-01-01","control"
"Onboarding",1074,"2020-01-01","variant 1"
"Onboarding",1075,"2020-01-01","control"
"Onboarding",1076,"2020-01-01","control"
"Onboarding",1077,"2020-01-01","control"
"Onboarding",1078,"2020-01-01","control"
"Onboarding",1079,"2020-01-01","variant 1"
"Onboarding",1080,"2020-01-01","variant 1"
"Onboarding",1081,"2020-01-01","control"
"Onboarding",1082,"2020-01-01","variant 1"
"Onboarding",1083,"2020-01-01","control"
"Onboarding",1084,"2020-01-01","control"
