user_id,action,action_date
1000,"onboarding complete","2020-01-01"
1001,"onboarding complete","2020-01-01"
1002,"onboarding complete","2020-01-01"
1003,"onboarding complete","2020-01-01"
1004,"onboarding complete","2020-01-01"
1005,"onboarding complete","2020-01-01"
1006,"onboarding complete","2020-01-01"
1007,"onboarding complete","2020-01-01"
1008,"onboarding complete","2020-01-01"
1009,"onboarding complete","2020-01-01"
1010,"onboarding complete","2020-01-01"
1011,"onboarding complete","2020-01-01"
1012,"onboarding complete","2020-01-01"
1013,"onboarding complete","2020-01-01"
1014,"onboarding complete","2020-01-01"
1016,"onboarding complete","2020-01-01"
1017,"onboarding complete","2020-01-01"
1018,"onboarding complete","2020-01-01"
1019,"onboarding complete","2020-01-01"
1020,"onboarding complete","2020-01-01"
1021,"onboarding complete","2020-01-01"
1022,"onboarding complete","2020-01-01"
1023,"onboarding complete","2020-01-01"
1024,"onboarding complete","2020-01-01"
1025,"onboarding complete","2020-01-01"
1026,"onboarding complete","2020-01-01"
1028,"onboarding complete","2020-01-01"
1031,"onboarding complete","2020-01-01"
1032,"onboarding complete","2020-01-01"
1033,"onboarding complete","2020-01-01"
1034,"onboarding complete","2020-01-01"
1035,"onboarding complete","2020-01-01"
1038,"onboarding complete","2020-01-01"
1039,"onboarding complete","2020-01-01"
1040,"onboarding complete","2020-01-01"
1041,"onboarding complete","2020-01-01"
1042,"onboarding complete","2020-01-01"
1043,"onboarding complete","2020-01-01"
1044,"onboarding complete","2020-01-01"
1045,"onboarding complete","2020-01-01"
1047,"onboarding complete","2020-01-01"
1048,"onboarding complete","2020-01-01"
1050,"onboarding complete","2020-01-01"
1052,"onboarding complete","2020-01-01"
1053,"onboarding complete","2020-01-01"
1054,"onboarding complete","2020-01-01"
1055,"onboarding complete","2020-01-01"
1056,"onboarding complete","2020-01-01"
1057,"onboarding complete","2020-01-01"
1058,"onboarding complete","2020-01-01"
1059,"onboarding complete","2020-01-01"
1060,"onboarding complete","2020-01-01"
1061,"onboarding complete","2020-01-01"
